EntidadWifi,NombreEntidad,same_as_wikidata_nombre_entidad,HORARIO,EQUIPAMIENTO,TRANSPORTE_1,Linea_1,TRANSPORTE_2,Linea_2,ACCESIBILIDAD,CONTENT-URL,VIA,same_as_wikidata_via,TIPO-NUM,NUM,CIUDAD,same_as_wikidata_ciudad,PROVINCIA,same_as_wikidata_provincia,CODIGO-POSTAL,COD-BARRIO,BARRIO,same_as_wikidata_barrio,COD-DISTRITO,DISTRITO,same_as_wikidata_distrito,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TipoEntidadWifi
1794,Biblioteca_Publica_Municipal__Ciudad_Lineal,https://wikidata.org/entity/Q85697893,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,5,,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82ce995a8bf5d010VgnVCM2000000c205a0aRCRD,CALLE_DE_LOS_HERMANOS_GARCIA_NOBLEJAS_MADRID,https://wikidata.org/entity/Q5740959,V,14,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28037,2,PUEBLO_NUEVO,https://wikidata.org/entity/Q71753,15,CIUDAD_LINEAL,https://wikidata.org/entity/Q1763694,445948,4476395,40.43644651057092,-3.6372924261150033,915887566,bpciudadlineal@madrid.es,"BibliotecasPublicas"
51188,Biblioteca_Publica_Municipal_Damaso_Alonso_(Chamartin),https://wikidata.org/entity/Q109597542,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,1_9_1_0_9,,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5870007f8441f010VgnVCM1000000b205a0aRCRD,CALLE_DE_MANUEL_FERRERO,,V,1,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28036,6,CASTILLA,https://wikidata.org/entity/Q3813735,5,CHAMARTIN,https://wikidata.org/entity/Q1766348,441962,4479867,40.467453379213175,-3.6846112774442705,913503150,bpdamasoalonso@madrid.es,"BibliotecasPublicas"
1762,Biblioteca_Publica_Municipal_David_Gistau,,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,4_5_6_2,,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c53e3d0b5e71c010VgnVCM1000000b205a0aRCRD,AVENIDA_DE_LOS_TOREROS_MADRID,https://wikidata.org/entity/Q29918658,V,5,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28028,4,LA_GUINDALERA,https://wikidata.org/entity/Q3814559,4,SALAMANCA,https://wikidata.org/entity/Q1773521,443092,4475923,40.43199309720514,-3.670929243543714,917240804,bpdavidgistau@madrid.es,"BibliotecasPublicas"
6893633,Biblioteca_Publica_Municipal__Eugenio_Trias_Casa_de_Fieras_de_El_Retiro,https://wikidata.org/entity/Q85697904,"Apertura de lunes a domingo.  Horario: de lunes a viernes de 8:30 a 21 horas; sábados y domingos de 8:30 a 15 horas.   Verano (del 15 de junio al 15 de septiembre): de lunes a viernes de 8:30 a 20 horas; sábados y domingos de 8:30 a 14 horas.   Cerrado: festivos, Semana Santa (de jueves a domingo), los dos últimos fines de semana de julio y los fines de semana de agosto, el 24 y 31 de diciembre.","Espacios:   Sala de consulta y lectura.  Sala polivalente y salas de trabajo en grupo. Sala especializada en medio ambiente. Zona de publicaciones periódicas. Sala infantil y juvenil.    Servicios:   Equipos de autopréstamo. Préstamo de libros, multimedia y revistas. Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,9,,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD,PASEO_DE_FERNAN_NUNEZ,,V,24,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28009,5,JERONIMOS,https://wikidata.org/entity/Q10306766,3,RETIRO,https://wikidata.org/entity/Q2002296,442345,4474221,40.4166091081099,-3.6795930368034804,914804838,bpeugeniotrias@madrid.es,"BibliotecasPublicas"
167128,Biblioteca_Publica_Municipal_Francisco_Ayala,,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura.  Sala polivalente. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Equipos de autopréstamo. Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,9,,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f05279262ef5d010VgnVCM1000000b205a0aRCRD,BULEVAR_DE_INDALECIO_PRIETO,,V,21,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28032,2,VALDEBERNARDO,https://wikidata.org/entity/Q43025212,19,VICALVARO,https://wikidata.org/entity/Q589403,447278,4472321,40.39982891410407,-3.621281890570377,913016466,bpfranciscoayala@madrid.es,"BibliotecasPublicas"
1760,Biblioteca_Publica_Municipal__Francisco_Ibanez,https://wikidata.org/entity/Q85697912,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,9_4,,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0fce3d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE_DE_MANTUANO,https://wikidata.org/entity/Q27048291,V,51,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28002,3,CIUDAD_JARDIN,https://wikidata.org/entity/Q3773744,5,CHAMARTIN,https://wikidata.org/entity/Q1766348,442766,4477922,40.44810636195716,-3.6762309620097398,915103756,bpfranciscoibanez@madrid.es,"BibliotecasPublicas"
1754,Biblioteca_Publica_Municipal_Gabriel_Garcia_Marquez,,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura.  Sala polivalente y sala de trabajo en grupo. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros, multimedia y revistas. Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,3,Cercanias__Renfe,5,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e4bf3d0b5e71c010VgnVCM1000000b205a0aRCRD,PLAZA_DE_PUEBLO,,NUM,2,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28041,2,ORCASUR,https://wikidata.org/entity/Q10341270,12,USERA,https://wikidata.org/entity/Q953368,440472,4468702,40.366768324753416,-3.701141063083806,913188691,bpgarciamarquez@madrid.es,"BibliotecasPublicas"
1748,Biblioteca_Publica_Municipal__Gerardo_Diego,https://wikidata.org/entity/Q85697914,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura.  Sala polivalente. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,1,,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca903d0b5e71c010VgnVCM1000000b205a0aRCRD,CALLE_DE_MONTE_AYA,,NUM,12,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28031,,CASCO_HISTORICO_DE_VALLECAS,https://wikidata.org/entity/Q16544370,,VILLA_DE_VALLECAS,https://wikidata.org/entity/Q1947988,447138,4469889,40.37790196240434,-3.6227296605039516,913806633,bpgerardodiego@madrid.es,"BibliotecasPublicas"
79941,Biblioteca_Publica_Municipal__Gloria_Fuertes,https://wikidata.org/entity/Q85697917,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura.  Sala polivalente. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,5,,,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f64c2c6e051c010VgnVCM2000000c205a0aRCRD,AVENIDA_DE_LOGRONO,https://wikidata.org/entity/Q118638509,V,179,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28042,5,CORRALEJOS,https://wikidata.org/entity/Q10260772,21,BARAJAS,https://wikidata.org/entity/Q807230,449661,4479046,40.46055947228695,-3.5937461811785347,913120258,bpgloriafuertes@madrid.es,"BibliotecasPublicas"
1750,Biblioteca_Publica_Municipal__Huerta_de_La_Salud,https://wikidata.org/entity/Q85697920,Apertura de lunes a viernes.  Horario: de 8:30 a 21 horas.  Verano (del 15 de junio al 15 de septiembre): de 8:30 a 20 horas.  Cerrado: festivos y los días 24 y 31 de diciembre.,"Espacios:   Sala de consulta y lectura. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,4,,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c5879262ef5d010VgnVCM1000000b205a0aRCRD,CALLE_DE_MAR_DE_LAS_ANTILLAS,,V,10,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28033,4,PINAR_DEL_REY,https://wikidata.org/entity/Q10349788,16,HORTALEZA,https://wikidata.org/entity/Q1928529,445295,4480968,40.47571688103069,-3.64667257750353,917645243,bphuertasalud@madrid.es,"BibliotecasPublicas"
5975465,Biblioteca_Publica_Municipal_Ivan_de_Vargas,,"Apertura de lunes a domingo.  Horario: de lunes a viernes de 8:30 a 21 horas; sábados y domingos de 8:30 a 15 horas.   Verano (del 15 de junio al 15 de septiembre): de lunes a viernes de 8:30 a 20 horas; sábados y domingos de 8:30 a 14 horas.   Cerrado: festivos, Semana Santa (de jueves a domingo), los dos últimos fines de semana de julio y los fines de semana de agosto, el 24 y 31 de diciembre.","Espacios:   Sala de consulta y lectura.  Sala polivalente. Sala Madrid. Zona de publicaciones periódicas. Sala infantil y juvenil.   Servicios:   Equipos de autopréstamo. Préstamo de libros, multimedia y revistas. Préstamo de dispositivos de ayuda a la lectura (lupas para libros). Servicio de acceso público a Internet. Zona wifi. Información bibliográfica. Animación a la lectura y formación de usuarios.",Metro_de_Madrid,1_2_3_5_2,Cercanias__Renfe,3_4,"1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD,CALLE_DE_SAN_JUSTO_MADRID,https://wikidata.org/entity/Q32458483,V,5,MADRID,http://wikidata.org/entity/Q2807,MADRID_PROVINCE,http://wikidata.org/entity/Q24004405,28005,1,PALACIO,https://wikidata.org/entity/Q2136510,1,CENTRO,https://wikidata.org/entity/Q1763376,439775,4473962,40.41410290844665,-3.7098591212735883,917586211,bpivandevargas@madrid.es,"BibliotecasPublicas"
